그룹,4개사,11개사,CIC,회사,year,month,반기,분기,계정,항목,산업기기-튜브 매출액,산업기기-튜브 매출액 누계,산업기기-튜브 매출액(국내),산업기기-튜브 매출액(국내) 누계,산업기기-튜브 매출액(해외),산업기기-튜브 매출액(해외) 누계,산업기기-튜브 영업이익,산업기기-튜브 영업이익 누계,산업기기-튜브 영업이익(국내),산업기기-튜브 영업이익(국내) 누계,산업기기-튜브 영업이익(해외),산업기기-튜브 영업이익(해외) 누계,산업기기-튜브 조정영업이익,산업기기-튜브 조정영업이익 누계,산업기기-튜브 세전이익,산업기기-튜브 세전이익 누계,자동차전선 매출액,자동차전선 매출액 누계,자동차전선 매출액(국내),자동차전선 매출액(국내) 누계,자동차전선 매출액(해외),자동차전선 매출액(해외) 누계,자동차전선 영업이익,자동차전선 영업이익 누계,자동차전선 영업이익(국내),자동차전선 영업이익(국내) 누계,자동차전선 영업이익(해외),자동차전선 영업이익(해외) 누계,자동차전선 조정영업이익,자동차전선 조정영업이익 누계,자동차전선 세전이익,자동차전선 세전이익 누계,피복선 매출액,피복선 매출액 누계,피복선 매출액(국내),피복선 매출액(국내) 누계,피복선 매출액(해외),피복선 매출액(해외) 누계,피복선 영업이익,피복선 영업이익 누계,피복선 영업이익(국내),피복선 영업이익(국내) 누계,피복선 영업이익(해외),피복선 영업이익(해외) 누계,피복선 조정영업이익,피복선 조정영업이익 누계,피복선 세전이익,피복선 세전이익 누계,산업용특수케이블 매출액,산업용특수케이블 매출액 누계,산업용특수케이블 매출액(국내),산업용특수케이블 매출액(국내) 누계,산업용특수케이블 매출액(해외),산업용특수케이블 매출액(해외) 누계,산업용특수케이블 영업이익,산업용특수케이블 영업이익 누계,산업용특수케이블 영업이익(국내),산업용특수케이블 영업이익(국내) 누계,산업용특수케이블 영업이익(해외),산업용특수케이블 영업이익(해외) 누계,산업용특수케이블 조정영업이익,산업용특수케이블 조정영업이익 누계,산업용특수케이블 세전이익,산업용특수케이블 세전이익 누계,부스닥트 매출액,부스닥트 매출액 누계,부스닥트 매출액(국내),부스닥트 매출액(국내) 누계,부스닥트 매출액(해외),부스닥트 매출액(해외) 누계,부스닥트 영업이익,부스닥트 영업이익 누계,부스닥트 영업이익(국내),부스닥트 영업이익(국내) 누계,부스닥트 영업이익(해외),부스닥트 영업이익(해외) 누계,부스닥트 조정영업이익,부스닥트 조정영업이익 누계,부스닥트 세전이익,부스닥트 세전이익 누계,권선 매출액,권선 매출액 누계,권선 매출액(국내),권선 매출액(국내) 누계,권선 매출액(해외),권선 매출액(해외) 누계,권선 영업이익,권선 영업이익 누계,권선 영업이익(국내),권선 영업이익(국내) 누계,권선 영업이익(해외),권선 영업이익(해외) 누계,권선 조정영업이익,권선 조정영업이익 누계,권선 세전이익,권선 세전이익 누계,소재 매출액,소재 매출액 누계,소재 매출액(국내),소재 매출액(국내) 누계,소재 매출액(해외),소재 매출액(해외) 누계,소재 영업이익,소재 영업이익 누계,소재 영업이익(국내),소재 영업이익(국내) 누계,소재 영업이익(해외),소재 영업이익(해외) 누계,소재 조정영업이익,소재 조정영업이익 누계,소재 세전이익,소재 세전이익 누계,알미늄 매출액,알미늄 매출액 누계,알미늄 매출액(국내),알미늄 매출액(국내) 누계,알미늄 매출액(해외),알미늄 매출액(해외) 누계,알미늄 영업이익,알미늄 영업이익 누계,알미늄 영업이익(국내),알미늄 영업이익(국내) 누계,알미늄 영업이익(해외),알미늄 영업이익(해외) 누계,알미늄 조정영업이익,알미늄 조정영업이익 누계,알미늄 세전이익,알미늄 세전이익 누계,광통신 매출액,광통신 매출액 누계,광통신 매출액(국내),광통신 매출액(국내) 누계,광통신 매출액(해외),광통신 매출액(해외) 누계,광통신 영업이익,광통신 영업이익 누계,광통신 영업이익(국내),광통신 영업이익(국내) 누계,광통신 영업이익(해외),광통신 영업이익(해외) 누계,광통신 조정영업이익,광통신 조정영업이익 누계,광통신 세전이익,광통신 세전이익 누계,UTP 매출액,UTP 매출액 누계,UTP 매출액(국내),UTP 매출액(국내) 누계,UTP 매출액(해외),UTP 매출액(해외) 누계,UTP 영업이익,UTP 영업이익 누계,UTP 영업이익(국내),UTP 영업이익(국내) 누계,UTP 영업이익(해외),UTP 영업이익(해외) 누계,UTP 조정영업이익,UTP 조정영업이익 누계,UTP 세전이익,UTP 세전이익 누계,무선망 매출액,무선망 매출액 누계,무선망 매출액(국내),무선망 매출액(국내) 누계,무선망 매출액(해외),무선망 매출액(해외) 누계,무선망 영업이익,무선망 영업이익 누계,무선망 영업이익(국내),무선망 영업이익(국내) 누계,무선망 영업이익(해외),무선망 영업이익(해외) 누계,무선망 조정영업이익,무선망 조정영업이익 누계,무선망 세전이익,무선망 세전이익 누계,SI 매출액,SI 매출액 누계,SI 매출액(국내),SI 매출액(국내) 누계,SI 매출액(해외),SI 매출액(해외) 누계,SI 영업이익,SI 영업이익 누계,SI 영업이익(국내),SI 영업이익(국내) 누계,SI 영업이익(해외),SI 영업이익(해외) 누계,SI 조정영업이익,SI 조정영업이익 누계,SI 세전이익,SI 세전이익 누계,초고압 매출액,초고압 매출액 누계,초고압 매출액(국내),초고압 매출액(국내) 누계,초고압 매출액(해외),초고압 매출액(해외) 누계,초고압 영업이익,초고압 영업이익 누계,초고압 영업이익(국내),초고압 영업이익(국내) 누계,초고압 영업이익(해외),초고압 영업이익(해외) 누계,초고압 조정영업이익,초고압 조정영업이익 누계,초고압 세전이익,초고압 세전이익 누계,해저케이블 매출액,해저케이블 매출액 누계,해저케이블 매출액(국내),해저케이블 매출액(국내) 누계,해저케이블 매출액(해외),해저케이블 매출액(해외) 누계,해저케이블 영업이익,해저케이블 영업이익 누계,해저케이블 영업이익(국내),해저케이블 영업이익(국내) 누계,해저케이블 영업이익(해외),해저케이블 영업이익(해외) 누계,해저케이블 조정영업이익,해저케이블 조정영업이익 누계,해저케이블 세전이익,해저케이블 세전이익 누계,기타 매출액,기타 매출액 누계,기타 매출액(국내),기타 매출액(국내) 누계,기타 매출액(해외),기타 매출액(해외) 누계,기타 영업이익,기타 영업이익 누계,기타 영업이익(국내),기타 영업이익(국내) 누계,기타 영업이익(해외),기타 영업이익(해외) 누계,기타 조정영업이익,기타 조정영업이익 누계,기타 세전이익,기타 세전이익 누계,합계 매출액,합계 매출액 누계,합계 매출액(국내),합계 매출액(국내) 누계,합계 매출액(해외),합계 매출액(해외) 누계,합계 영업이익,합계 영업이익 누계,합계 영업이익(국내),합계 영업이익(국내) 누계,합계 영업이익(해외),합계 영업이익(해외) 누계,합계 조정영업이익,합계 조정영업이익 누계,합계 세전이익,합계 세전이익 누계
Y,Y,Y,N,전선,2010,8,하반기,3분기, 사업별손익,실적,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Y,Y,Y,N,전선,2010,9,하반기,3분기, 사업별손익,실적,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Y,Y,Y,N,전선,2010,10,하반기,4분기, 사업별손익,실적,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Y,Y,Y,N,전선,2010,11,하반기,4분기, 사업별손익,실적,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Y,Y,Y,N,전선,2010,12,하반기,4분기, 사업별손익,실적,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Y,Y,Y,N,전선,2011,1,상반기,1분기, 사업별손익,실적,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Y,Y,Y,N,전선,2011,2,상반기,1분기, 사업별손익,실적,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Y,Y,Y,N,전선,2011,3,상반기,1분기, 사업별손익,실적,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Y,Y,Y,N,전선,2011,4,상반기,2분기, 사업별손익,실적,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Y,Y,Y,N,전선,2011,5,상반기,2분기, 사업별손익,실적,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Y,Y,Y,N,전선,2011,6,상반기,2분기, 사업별손익,실적,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Y,Y,Y,N,전선,2011,7,하반기,3분기, 사업별손익,실적,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Y,Y,Y,N,전선,2011,8,하반기,3분기, 사업별손익,실적,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Y,Y,Y,N,전선,2011,9,하반기,3분기, 사업별손익,실적,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Y,Y,Y,N,전선,2011,10,하반기,4분기, 사업별손익,실적,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Y,Y,Y,N,전선,2011,11,하반기,4분기, 사업별손익,실적,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Y,Y,Y,N,전선,2011,12,하반기,4분기, 사업별손익,실적,1.05662E+11,1.05662E+11,1.05662E+11,1.05662E+11,0,0,0,0,0,0,0,0,0,0,0,0,1.49758E+11,1.49758E+11,1.49758E+11,1.49758E+11,0,0,1278000000,1278000000,1278000000,1278000000,0,0,0,0,0,0,4.75399E+11,4.75399E+11,4.75399E+11,4.75399E+11,0,0,0,0,0,0,0,0,0,0,0,0,1.47603E+11,1.47603E+11,1.47603E+11,1.47603E+11,0,0,0,0,0,0,0,0,0,0,0,0,1.21643E+11,1.21643E+11,1.21643E+11,1.21643E+11,0,0,16501200000,16501200000,16501200000,16501200000,0,0,0,0,13966494886,13966494886,2.88138E+11,2.88138E+11,2.88138E+11,2.88138E+11,0,0,2458700000,2458700000,2458700000,2458700000,0,0,0,0,0,0,1.99722E+12,1.99722E+12,1.99722E+12,1.99722E+12,0,0,23567100000,23567100000,23567100000,23567100000,0,0,0,0,10727798184,10727798184,92988500000,92988500000,92988500000,92988500000,0,0,6474600000,6474600000,6474600000,6474600000,0,0,0,0,4255745349,4255745349,1.59976E+11,1.59976E+11,1.59976E+11,1.59976E+11,0,0,9819900000,9819900000,9819900000,9819900000,0,0,0,0,7108936982,7108936982,1.35548E+11,1.35548E+11,1.35548E+11,1.35548E+11,0,0,3850000000,3850000000,3850000000,3850000000,0,0,0,0,399286201,399286201,56686500000,56686500000,56686500000,56686500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.85616E+11,8.85616E+11,8.85616E+11,8.85616E+11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.82059E+11,1.82059E+11,1.82059E+11,1.82059E+11,0,0,0,0,0,0,0,0,0,0,0,0,4.7983E+12,4.7983E+12,4.7983E+12,4.7983E+12,0,0,8500000000,8500000000,8500000000,8500000000,0,0,0,0,0,0
Y,Y,Y,N,전선,2012,1,상반기,1분기, 사업별손익,실적,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
